Outlet / person,Category,Contact name,Contact email,Public social handle,Submission URL,Pitch version used,Date contacted,Follow-up date,Response,Status,Notes
Knicks Film School,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
KnicksFanTV,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
Posting and Toasting,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
The Strickland,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
The Roommates Show ecosystem,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
WFAN Knicks voices,Knicks media,,,,,Knicks Media Pitch,,,,not contacted,
SNY Knicks writers,NYC media,,,,,NYC Culture / Civic Pitch,,,,not contacted,
New York Post sports/opinion,NYC media,,,,,Publication-Safe Pitch,,,,not contacted,
Daily News sports/opinion,NYC media,,,,,Publication-Safe Pitch,,,,not contacted,
Gothamist / WNYC culture,NYC media,,,,,NYC Culture / Civic Pitch,,,,not contacted,
The City,NYC media,,,,,NYC Culture / Civic Pitch,,,,not contacted,
Hell Gate,NYC media,,,,,NYC Culture / Civic Pitch,,,,not contacted,
The Athletic Knicks writers,mainstream,,,,,Publication-Safe Pitch,,,,not contacted,
Local NYC culture newsletters,NYC media,,,,,NYC Culture / Civic Pitch,,,,not contacted,
Mayor's Office general contact,civic,,,,,NYC Culture / Civic Pitch,,,,not contacted,
NYC Department of Cultural Affairs,civic,,,,,NYC Culture / Civic Pitch,,,,not contacted,
Borough president offices,civic,,,,,NYC Culture / Civic Pitch,,,,not contacted,
NYC Council sports/culture figures,civic,,,,,NYC Culture / Civic Pitch,,,,not contacted,
Medium,syndication,,,,,Owned-page canonical repost,,,,not contacted,Set canonical link to article URL
Substack,newsletter,,,,,Newsletter excerpt,,,,not contacted,Publish shorter email version linking to article
Reddit Knicks communities,social,,,,,Discussion post,,,,not contacted,Check subreddit rules before posting
Instagram,social,,,,,Carousel / reel package,,,,not contacted,Use link in bio or story if available
LinkedIn,social,,,,,Culture essay framing,,,,not contacted,
